"Your session has expired","Your session has expired"
"No product added.","No product added."
"You added %1 to your shopping cart.","You added %1 to your shopping cart."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Product not found.","Product not found."
"NoSuchEntityException Product not found.","NoSuchEntityException Product not found."
"We can't specify a product.","We can't specify a product."
"Page not found.","Page not found."
"'Add wishlist error ' .","'Add wishlist error ' ."
Popup,Popup
"Show Minicart","Show Minicart"
"Show Popup","Show Popup"
"Added to your bag","Added to your bag"
Qty,Qty
"Continue Shopping","Continue Shopping"
"View Cart","View Cart"
"<strong>%1</strong>added to your Comparision list.","<strong>%1</strong>added to your Comparision list."
"View Compare List","View Compare List"
"<strong>%1</strong> <p class=""greycolor"">added to your wishlist.</p>","<strong>%1</strong> <p class=""greycolor"">added to your wishlist.</p>"
"View Wish List","View Wish List"
Questions,Questions
"A total of %1 element(s) have been deleted.","A total of %1 element(s) have been deleted."
"Error send question!","Error send question!"
"Thank you for send us question!","Thank you for send us question!"
"'Failed to send email, please try again later.' .","'Failed to send email, please try again later.' ."
"Something went wrong while saving the file(s).","Something went wrong while saving the file(s)."
"File validation failed.","File validation failed."
"File can not be saved to the destination folder.","File can not be saved to the destination folder."
"After Content Heading","After Content Heading"
"Before Content Heading","Before Content Heading"
"Email is incorrect","Email is incorrect"
"Alert subscription has been saved.","Alert subscription has been saved."
"An unknown error.","An unknown error."
"Buy %1 more to enjoy %2","Buy %1 more to enjoy %2"
"Congrats! You are eligible for %1 ","Congrats! You are eligible for %1 "
"Free Shipping for all orders over %1","Free Shipping for all orders over %1"
"%1 items","%1 items"
"Read more","Read more"
"We can't find products matching the selection.","We can't find products matching the selection."
"Add to Cart","Add to Cart"
"In stock","In stock"
"Out of stock","Out of stock"
"Learn More","Learn More"
Filter,Filter
"2 Columns","2 Columns"
"3 Columns","3 Columns"
"4 Columns","4 Columns"
"5 Columns","5 Columns"
"Buy Now","Buy Now"
"Buy It Now","Buy It Now"
"Click to enlarge","Click to enlarge"
"Customize and Add to Cart","Customize and Add to Cart"
Sold:,Sold:
"Add to Wish List","Add to Wish List"
"Add to Compare","Add to Compare"
"No products were found matching your condition.","No products were found matching your condition."
"Select Product","Select Product"
"Quick Add","Quick Add"
"Save %1","Save %1"
"No options of this product are available.","No options of this product are available."
Submit,Submit
"Error! Please enter User ID, Access Token, User Name Instagram.","Error! Please enter User ID, Access Token, User Name Instagram."
"Fetch Posts Via API Successfully.","Fetch Posts Via API Successfully."
"Error! Please Try Again.","Error! Please Try Again."
"You saved the configuration.","You saved the configuration."
Run,Run
"Collect Product Data Rate Successfully.","Collect Product Data Rate Successfully."
"%1 and above","%1 and above"
"%1 - %2","%1 - %2"
"Sorry, something went wrong. You can find out more in the error log.","Sorry, something went wrong. You can find out more in the error log."
"Bucket does not exist","Bucket does not exist"
item,item
items,items
"Show More","Show More"
"Now Shopping by","Now Shopping by"
Previous,Previous
Remove,Remove
"Shop By","Shop By"
"Clear All","Clear All"
Loading,Loading
"Clear Flat Data Menu","Clear Flat Data Menu"
Export,Export
"Clear Cache Flat Data Menu","Clear Cache Flat Data Menu"
Reset,Reset
"Save and Continue Edit","Save and Continue Edit"
Back,Back
Delete,Delete
Save,Save
"Create Menu","Create Menu"
"Cms Page","Cms Page"
Category,Category
"Custom Link","Custom Link"
Edit,Edit
"Cms Block Insertion","Cms Block Insertion"
"Insert Cms Block","Insert Cms Block"
Cancel,Cancel
"Inserting a widget does not create a widget instance.","Inserting a widget does not create a widget instance."
"Widget Type","Widget Type"
"-- Please Select --","-- Please Select --"
"Delete Success","Delete Success"
"We can't find an store to delete.","We can't find an store to delete."
"This pattern no longer exists.","This pattern no longer exists."
"New Menus","New Menus"
"Edit Menus","Edit Menus"
Menus,Menus
"Menu does not exist.","Menu does not exist."
"Exported Success.","Exported Success."
"Run Flat Data Menu Success.","Run Flat Data Menu Success."
"Import Menus","Import Menus"
"The menus has been saved.","The menus has been saved."
"Something went wrong while saving the menus.","Something went wrong while saving the menus."
"Create menus Success.","Create menus Success."
"Please enter full information so you can create menus.","Please enter full information so you can create menus."
"Incorrect upload file format.","Incorrect upload file format."
"Menu Name","Menu Name"
"Import Menus Success.","Import Menus Success."
"Import failed.","Import failed."
"Do not show","Do not show"
"Show / Hide Editor","Show / Hide Editor"
New,New
Sale,Sale
Hot,Hot
"Standard Submenu","Standard Submenu"
"Multicolumn Submenu","Multicolumn Submenu"
"Block Content","Block Content"
Repeat,Repeat
"No Repeat","No Repeat"
"Repeat X","Repeat X"
"Repeat Y","Repeat Y"
Center,Center
"Center Left","Center Left"
"Center Right","Center Right"
"Top Left","Top Left"
"Top Center","Top Center"
"Top Right","Top Right"
"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
"Keep original","Keep original"
"Stretch to width","Stretch to width"
"Stretch to height","Stretch to height"
Cover,Cover
Contain,Contain
Title,Title
URL,URL
"Add Class","Add Class"
"Add Label","Add Label"
"Select Label","Select Label"
"Icon Image","Icon Image"
"Icon Font Class","Icon Font Class"
"Options of Dropdown","Options of Dropdown"
"Submenu Type","Submenu Type"
"Submenu Columns","Submenu Columns"
"Full Width","Full Width"
"Dynamic Content","Dynamic Content"
"Background Image","Background Image"
"Add Block Content Html","Add Block Content Html"
"Block Top","Block Top"
"Block Bottom","Block Bottom"
"Block Left","Block Left"
"Left Block Width","Left Block Width"
"Block Right","Block Right"
"Right Block Width","Right Block Width"
"Something went wrong while getting the image url.","Something went wrong while getting the image url."
None,None
Unfold,Unfold
Fading,Fading
"Down to Up","Down to Up"
Dropdown,Dropdown
name,name
description,description
"Add menu items","Add menu items"
"Select All","Select All"
"Add to Menu","Add to Menu"
Categories,Categories
"Custom Links","Custom Links"
"Link Text","Link Text"
"Menu structure","Menu structure"
"Drag the items into the order you prefer. 
                    Click the arrow on the right of the item to reveal additional configuration options.","Drag the items into the order you prefer. 
                    Click the arrow on the right of the item to reveal additional configuration options."
"Edit menu item","Edit menu item"
Close,Close
"Menu Type","Menu Type"
Horizontal,Horizontal
Vertical,Vertical
"Give your menu a name, then click Create Menu.","Give your menu a name, then click Create Menu."
Menu,Menu
"Toggle Nav","Toggle Nav"
"More Menus","More Menus"
"Address Information","Address Information"
"Save Position","Save Position"
"Manage Fields","Manage Fields"
"One Page Checkout","One Page Checkout"
"Error during save field position.","Error during save field position."
"All fields have been saved.","All fields have been saved."
"One-page checkout is turned off.","One-page checkout is turned off."
"Guest checkout is disabled.","Guest checkout is disabled."
"Express Checkout","Express Checkout"
"This quote does not exist.","This quote does not exist."
